Feature,Fisher_Score
LIN7B,577.5299980620565
RP11-11C5.2,577.0623690854809
ZNF179,576.4103725435954
AARSD1,576.3289406580938
GNG12,576.2166763153764
BTBD14A,575.8189819212585
ZNF395,575.7549120231265
NFKBIE,575.7426947255124
PHYHD1,575.4895540809225
CDKN2C,575.3488233430413
CREG2,575.2080799061702
TOB2,575.1721531718093
EAF1,575.1705181928583
HSPB1,574.6908973192427
SIX5,574.543257284979
C1S,574.4952310625516
CFHR1P,574.4133900779954
BTBD10,574.0432164931417
SRPX2,573.8169852666232
ATP6V1D,573.7758641324297
GNA13,573.2167864699251
RAB13,573.0521399231237
MCL1,572.574034376985
STXBP4,572.4054305692044
GPI,571.6809980252215
TTC3,571.4315185411298
CHN1,570.0782521897361
WTAP,569.9239229490527
DGKG,569.8954256491927
TNFRSF11B,569.8714387000518
TOMM20,569.7068469955991
INPP5D,569.6060999776746
TNFRSF10D,569.5368503378609
B4GALT6,569.5154217228404
HIATL1,569.2299099133842
LSS,569.163486881603
MRPL28,569.0648706301256
MAF1,569.051263802849
GLRB,568.8713244028743
BZRP,568.6827910608231
KIRREL2,568.4606775257557
DNAJC1,568.0461791338645
PLEKHB2,567.700030161847
PANK3,567.5165150693
SEMA3F,567.1198090643529
HS6ST2,566.7105848674308
FRMPD4,566.3838559459714
RANBP1,566.1088037427232
PPP1R14C,565.9921792744237
NHP2L1,565.9814052723366
PSMC3,565.9106159442636
C2orf32,565.6952323387603
FAM100B,565.6034937919483
NPC2,565.4637652248889
PIN1,565.382992464956
KLHL21,564.9650433440862
NDUFAB1,564.7037500427284
CXorf40A,564.6394052959645
C15orf37,564.5711170205633
DHRS3,564.1465697032434
FHL2,564.0281938037693
TRIM47,564.004006967667
PDF,563.7228274236791
CHMP4B,563.4801508774494
SERTAD3,563.4058414444446
C21orf25,563.3604597147773
PIP5K3,562.9004151886031
CLK3,562.8706537736821
PRPS2,562.6251378896108
TCL1B,562.4918423590359
MT1X,562.1594009472058
MAP3K9,562.146775266495
ATP6V1H,561.8412761479439
YWHAG,561.8244238363304
IFITM3,561.4066619055793
PMS2L3,561.3251471906726
VDAC1,560.941007617706
TERF2IP,560.7678799986593
C20orf12,560.6811709123266
CMTM6,560.4217552752702
SMARCA4,560.2962702412598
MFNG,560.0917681625349
WDR6,560.0602579513856
ADCY2,559.4717441451804
C17orf51,559.4694309632137
PLEKHF1,559.3907587723105
MRPL37,559.1165736281383
GABARAPL3,559.0195501166452
PIN1L,558.8288851882394
AEBP1,558.7779854680325
CHST3,558.6540965546751
MLKL,558.2928507256491
TBRG1,558.2835538521301
TCEAL3,558.1614357183493
HACE1,558.1372169828284
LHFPL5,558.0256556595614
RBM6,557.7309125572446
PARVG,557.5148606387228
DDIT4L,557.3086687713071
SLC25A4,556.8091444884262
YWHAB,556.6508502157565
OSBPL10,556.480123776247
C2orf10,556.315651995452
OXCT1,556.0821569832773
TSPYL1,555.9116950893983
KIF3B,555.8117104013727
HN1,555.7909550701802
C1orf144,555.5243893676967
GPHN,555.2723337186021
RBM24,554.8999542753236
ATP6V1F,554.8887322911212
FAM81A,554.7902658469677
LCE2D,554.5552482414223
MAP3K6,554.42489681008
RNF19,554.3929623116018
SERPING1,554.3048248495869
MAP3K3,554.2842986802011
CLDN15,554.2289265842413
SMAP1L,553.8376234642901
B3GALT6,553.7435788324699
UBE2T,553.3267558946305
IRS3L,553.2703165004558
ASNS,553.035510011904
MARK1,553.0343709653005
STXBP5L,553.0069440347911
NME5,552.5819037568252
TMEM17,552.4687765924888
CCDC69,551.9039219109771
MAGEH1,551.3583321748594
NFE2L2,551.0340184978427
SLC4A1AP,550.3520551059239
CASP4,550.2009451265428
ACAD9,550.0725581682717
IFITM1,549.9655616291952
C1orf66,549.5507315627151
UQCRH,549.5466691369858
ACP2,549.167280982515
TIMM8A,548.9433207846887
CIDEC,548.792495447427
LRDD,548.5549124908741
IARS,548.3301884288967
CRHBP,548.11831144573
BRP44,548.0797679143925
NPTN,548.0123339954746
ATP6V1B2,548.0051118327985
LRRC49,547.4508869221545
STOM,547.3721858892848
NDEL1,547.3666689906779
C3orf57,547.3561229254185
C10orf97,547.3401992372344
LRRC4C,547.3333881589098
NDUFA5,547.180351069831
SYT11,546.4781586154709
TYK2,546.3587716443386
KCNB2,546.2994748264396
NLE1,546.169268943669
DYNC1LI1,546.1394801870538
SLC16A4,545.7070004375777
CCDC87,544.9920875334091
TRIM56,544.5422527807275
CD163,544.108632810246
UBE2E3,543.8858069290038
MTX2,543.5786891060761
PRKCZ,543.1101943263953
MGST3,543.0437848144034
CMAS,542.964763122261
PTPN13,542.4826852391948
SNAPC5,542.3495704405968
TM2D3,541.4835439574737
RAB3C,541.193963337148
MFSD4,540.9906330939989
ASPHD1,540.8308251096504
C14orf44,540.7858070008119
TM9SF1,540.7729790142272
WDR61,540.5501624335209
SOAT1,540.4212614101526
TMEM14A,540.3003149180314
FBXL17,539.996293459498
IFITM2,539.755689245214
UTP11L,539.75092029281
NIT1,539.4681534054803
STARD8,539.3006589349067
CDC42SE2,539.092564562613
RDH12,539.0800919267815
SLC25A15,538.9483413096921
PTBP1,538.5817196294973
TBL1X,538.3781430369422
STAT3,538.2372716099037
PPP3CB,537.9754064451497
WBP11,537.8901436047179
CFLAR,537.0553568866885
IL15RA,536.9043777408043
SLC15A3,536.8551757226281
POLA,536.7486195095137
RHOQ,536.6550846167002
LCP1,536.0854425056343
C1orf86,535.5375786984966
POP7,535.1560801833432
CBLN1,535.1290775541245
CDA,535.0786375265263
TOB1,534.6540457080932
MAGEF1,534.3994535103948
CFB,534.3113136065183
ADH1B,534.0955763041193
LRP10,533.9145983270115
MAN2B1,533.6123580463251
NINJ1,533.3911799191928
MCHR2,533.1080620334506
PCDHA8,532.8595205277649
ENTPD3,532.7105048350237
ZDHHC23,532.5887697406797
THEDC1,532.4297143988036
SLC25A14,532.2021379612805
CEBPD,531.9131902303616
HMG20B,531.871559792246
MAP3K8,531.3419385003424
FAM38A,531.2805047703234
SPEN,530.815141771868
GABRA1,530.7944771442139
TCIRG1,530.7701997684849
RIN2,530.7611688902376
TUBA6,530.7418104690364
CSRP1,530.7319056387868
RNASET2,530.6600067786661
YWHAQ,530.3562991186145
